Continent,Countries,Latitude,Longitude
Asia,Afghanistan,34.5167,69.1833
Europe,Albania,41.3275,19.8189
Africa,Algeria,36.7631,3.0506
Africa,Angola,-8.8383,13.2344
North America,Antigua and Barbuda,17.118,-61.85
South America,Argentina,-34.6025,-58.3975
Europe,Armenia,40.1812,44.5136
Oceania,Australia,-33.92,151.1852
Europe,Austria,48.2,16.3666
Europe,Azerbaijan,40.3953,49.8622
North America,Bahamas,25.0834,-77.35
Asia,Bahrain,26.2361,50.5831
Asia,Bangladesh,23.7231,90.4086
North America,Barbados,13.102,-59.6165
Europe,Belarus,53.9,27.5666
Europe,Belgium,50.8333,4.3333
North America,Belize,17.252,-88.7671
Africa,Benin,6.4,2.52
Asia,Bhutan,27.473,89.639
South America,Bolivia (Plurinational State of),-17.7539,-63.226
Europe,Bosnia and Herzegovina,43.85,18.383
Africa,Botswana,-24.6463,25.9119
South America,Brazil,-23.5587,-46.625
Asia,Brunei Darussalam,4.8833,114.9333
Europe,Bulgaria,42.6833,23.3167
Africa,Burkina Faso,12.3703,-1.5247
Africa,Burundi,-3.3761,29.36
Africa,Côte d'Ivoire,5.32,-4.04
Africa,Cabo Verde,14.9167,-23.5167
Asia,Cambodia,11.55,104.9166
Africa,Cameroon,4.0604,9.71
North America,Canada,43.7,-79.42
Africa,Central African Republic,4.3666,18.5583
Africa,Chad,12.1131,15.0491
South America,Chile,-33.45,-70.667
Asia,China,31.2165,121.4365
South America,Colombia,4.5964,-74.0833
Africa,Comoros,-11.7042,43.2402
Africa,Congo,-4.3297,15.315
Oceania,Cook Islands,-21.25,-159.75
North America,Costa Rica,9.935,-84.0841
Europe,Croatia,45.8,16
North America,Cuba,23.132,-82.3642
Europe,Cyprus,35.1667,33.3666
Europe,Czechia,50.0833,14.466
Asia,Democratic People's Republic of Korea,39.0194,125.7547
Africa,Democratic Republic of the Congo,-4.2592,15.2847
Europe,Denmark,55.6786,12.5635
Africa,Djibouti,11.595,43.148
North America,Dominica,15.301,-61.387
North America,Dominican Republic,18.4701,-69.9001
South America,Ecuador,-2.22,-79.92
Africa,Egypt,30.05,31.25
